data,venda,estoque,preco
2014-03-26,25,3704,1.29
2014-03-27,25,3679,1.29
2014-03-28,174,3505,1.19
2014-03-29,138,3367,1.09
2014-03-30,64,3303,1.09
2014-03-31,77,3226,1.09
2014-04-01,62,3164,1.09
2014-04-02,119,3045,1.09
2014-04-03,89,2956,1.09
2014-04-04,133,2823,1.09
2014-04-05,180,2643,1.09
2014-04-06,121,2522,1.09
2014-04-07,72,2450,1.09
2014-04-08,91,2359,1.09
2014-04-09,53,2306,1.09
2014-04-10,47,2259,1.09
2014-04-11,42,2217,1.09
2014-04-12,124,2092,1.09
2014-04-13,97,1995,1.09
2014-04-14,119,1875,1.09
2014-04-15,34,1841,1.29
2014-04-16,18,1823,1.29
2014-04-17,24,1799,1.29
2014-04-18,57,1742,1.29
2014-04-19,61,1681,1.29
2014-04-20,30,1651,1.29
2014-04-21,96,1554,1.29
2014-04-22,0,1525,1.29
2014-04-23,37,1488,1.29
2014-04-24,30,1458,1.29
2014-04-25,38,1420,1.29
2014-04-26,88,1332,1.29
2014-04-27,64,1268,1.29
2014-04-28,13,1255,1.29
2014-04-29,20,1255,1.29
2014-04-30,31,1457,1.29
2014-05-01,129,1263,1.29
2014-05-02,94,1169,1.29
2014-05-03,129,1904,1.29
2014-05-04,126,1778,1.29
2014-05-05,70,1708,1.29
2014-05-06,48,1708,1.29
2014-05-07,123,2044,1.29
2014-05-08,87,1930,1.29
2014-05-09,65,1961,1.29
2014-05-10,102,1859,1.29
2014-05-11,78,1781,1.29
2014-05-12,49,1828,1.29
2014-05-13,0,1800,1.29
2014-05-14,68,1687,1.09
2014-05-15,102,1969,1.09
2014-05-16,88,1977,1.09
2014-05-17,170,1807,1.09
2014-05-18,152,1655,1.09
2014-05-19,90,1661,1.09
2014-05-20,101,1751,1.09
2014-05-21,71,1680,1.43
2014-05-22,48,2016,1.49
2014-05-23,40,1976,1.49
2014-05-24,93,1883,1.49
2014-05-25,45,1838,1.49
2014-05-26,58,1876,1.49
2014-05-27,53,1919,1.49
2014-05-28,42,3317,1.49
2014-05-29,52,3841,1.49
2014-05-30,29,3811,1.99
2014-05-31,91,3720,1.99
2014-06-01,75,3645,1.99
2014-06-02,75,3570,1.99
2014-06-03,179,3391,1.19
2014-06-04,252,3140,1.19
2014-06-05,202,2938,1.19
2014-06-06,161,2777,1.19
2014-06-07,331,2446,1.19
2014-06-08,271,2175,1.19
2014-06-09,146,1949,1.19
2014-06-10,2,1946,1.19
2014-06-11,2,2136,1.19
2014-06-12,0,2136,0.0
2014-06-13,0,2328,1.49
2014-06-14,0,2328,1.49
2014-06-15,13,2315,1.49
2014-06-16,30,2285,1.49
2014-06-17,34,2251,1.49
2014-06-18,8,2243,1.49
2014-06-19,67,2176,1.29
2014-06-20,41,2135,1.29
2014-06-21,89,2046,1.29
2014-06-22,49,1997,1.29
2014-06-23,62,2031,1.29
2014-06-24,81,2046,1.29
2014-06-25,42,2004,1.29
2014-06-26,63,2037,1.29
2014-06-27,107,1930,1.18
2014-06-28,83,1847,1.19
2014-06-29,102,1745,1.19
2014-06-30,62,1779,1.29
2014-07-01,29,1750,1.29
2014-07-02,63,1687,1.29
2014-07-03,97,1590,1.29
2014-07-04,136,1454,1.29
2014-07-05,335,1119,1.29
2014-07-06,299,820,1.29
2014-07-07,5,814,1.29
2014-07-08,2,812,1.29
2014-07-09,9,803,1.29
2014-07-10,9,794,1.29
2014-07-11,0,794,1.29
2014-07-12,0,794,1.29
2014-07-13,0,794,1.29
2014-07-14,0,794,1.29
2014-07-15,0,794,0.0
2014-07-16,0,794,0.0
2014-07-17,0,794,0.0
2014-07-18,0,794,0.0
2014-07-19,0,794,1.49
2014-07-20,0,794,1.49
2014-07-21,0,794,1.49
2014-07-22,2,792,1.49
2014-07-23,0,792,1.49
2014-07-24,0,888,1.49
2014-07-25,15,873,1.49
2014-07-26,9,864,1.49
2014-07-27,13,851,1.49
2014-07-28,15,1220,1.22
2014-07-29,26,1207,2.98
2014-07-30,16,1191,1.55
2014-07-31,51,1140,1.55
2014-08-01,47,1093,1.55
2014-08-02,56,1037,1.55
2014-08-03,45,992,1.55
2014-08-04,40,952,1.55
2014-08-05,17,935,1.55
2014-08-06,103,832,1.29
2014-08-07,72,760,1.29
2014-08-08,56,704,1.29
2014-08-09,0,704,1.29
2014-08-10,1,703,1.29
2014-08-11,0,703,1.29
2014-08-12,0,703,1.29
2014-08-13,0,703,1.29
2014-08-14,0,703,1.29
2014-08-15,0,703,1.55
2014-08-16,0,703,1.55
2014-08-17,0,703,1.55
2014-08-18,0,2143,1.55
2014-08-19,0,2143,1.55
2014-08-20,68,2075,1.55
2014-08-21,169,1908,1.19
2014-08-22,213,1695,1.19
2014-08-23,338,1356,1.19
2014-08-24,129,1227,1.19
2014-08-26,13,1271,1.19
2014-08-27,85,1186,1.19
2014-08-28,0,1186,0.0
2014-08-29,0,1186,1.29
2014-08-30,0,1186,1.29
2014-08-31,0,1186,1.29
2014-09-01,0,1474,1.29
2014-09-02,0,1474,1.29
2014-09-03,0,1474,1.29
2014-09-04,0,1474,1.29
2014-09-05,0,2146,1.29
2014-09-06,0,2146,1.29
2014-09-07,0,2146,1.29
2014-09-08,64,2082,1.29
2014-09-09,154,1928,1.29
2014-09-10,143,1785,1.29
2014-09-11,96,1689,1.29
2014-09-12,140,1549,1.29
2014-09-13,67,1484,1.29
2014-09-14,3,1481,1.29
2014-09-15,71,1410,1.29
2014-09-16,58,1352,1.29
2014-09-17,62,1962,1.29
2014-09-18,62,1996,1.29
2014-09-19,62,2126,1.29
2014-09-20,168,2532,1.29
2014-09-21,99,2433,1.29
2014-09-22,39,2394,1.29
2014-09-23,64,2285,1.29
2014-09-24,117,2168,1.29
2014-09-25,104,2064,1.29
2014-09-26,108,1956,1.29
2014-09-27,234,1014,1.29
2014-09-28,97,917,1.29
2014-09-29,85,832,1.29
2014-09-30,88,1896,1.29
2014-10-01,190,1801,1.29
2014-10-02,163,1637,1.29
2014-10-03,90,1835,1.29
2014-10-04,105,1730,1.29
2014-10-05,47,1683,1.29
2014-10-06,66,2097,1.29
2014-10-07,84,2109,1.29
2014-10-08,80,2028,1.29
2014-10-09,97,1934,1.29
2014-10-10,64,2254,1.29
2014-10-11,128,2126,1.29
2014-10-12,85,2041,1.29
2014-10-13,50,2087,1.29
2014-10-14,91,1996,1.29
2014-10-15,93,1903,1.29
2014-10-16,50,1852,1.29
2014-10-17,85,2246,1.29
2014-10-18,129,2117,1.29
2014-10-19,119,1998,1.29
2014-10-20,45,2049,1.29
2014-10-21,78,2067,1.29
2014-10-22,90,1977,1.29
2014-10-23,78,1899,1.29
2014-10-24,62,1837,1.29
2014-10-25,97,1740,1.29
2014-10-26,111,1629,1.29
2014-10-27,55,1574,1.29
2014-10-28,60,1510,1.29
2014-10-29,61,1449,1.29
2014-10-30,81,1368,1.49
2014-10-31,131,1237,1.49
2014-11-01,160,1077,1.49
2014-11-02,131,946,1.49
2014-11-03,43,903,1.49
2014-11-04,34,869,1.49
2014-11-05,33,836,1.49
2014-11-06,37,799,1.49
2014-11-07,82,717,1.49
2014-11-08,542,175,1.49
2014-11-09,239,0,1.49
2014-11-10,51,0,1.49
2014-11-11,51,80,1.49
2014-11-12,41,34,1.49
2014-11-13,1,33,1.49
2014-11-14,0,33,1.49
2014-11-15,1,32,1.49
2014-11-16,0,32,1.49
2014-11-17,0,32,1.49
2014-11-18,7,25,1.49
2014-11-19,1,24,1.49
2014-11-20,4,20,1.29
2014-11-21,1,19,1.29
2014-11-22,1,18,1.29
2014-11-23,2,16,1.29
2014-11-24,0,16,1.29
2014-11-25,0,16,1.29
2014-11-26,0,16,1.29
2014-11-27,0,16,1.29
2014-11-28,0,16,1.29
2014-11-29,0,16,1.29
2014-11-30,0,16,1.29
2014-12-01,0,16,1.29
2014-12-02,0,16,1.29
2014-12-03,0,16,1.29
2014-12-04,0,16,1.29
2014-12-05,0,16,1.49
2014-12-06,0,16,1.49
2014-12-07,0,16,1.49
2014-12-08,0,16,1.49
2014-12-09,0,16,1.49
2014-12-10,0,16,1.49
2014-12-11,0,16,1.49
2014-12-12,0,16,1.49
2014-12-13,0,16,1.49
2014-12-14,0,16,1.49
2014-12-15,0,688,1.49
2014-12-16,49,735,1.49
2014-12-17,157,578,1.29
2014-12-18,193,385,1.29
2014-12-19,94,291,1.29
2014-12-20,135,156,1.29
2014-12-21,118,38,1.29
2014-12-22,18,116,1.29
2014-12-23,0,116,1.29
2014-12-24,14,102,1.29
2014-12-25,0,102,1.29
2014-12-26,20,82,1.29
2014-12-27,42,328,1.29
2014-12-28,45,283,1.29
2014-12-29,55,612,1.29
2014-12-30,59,553,1.29
2014-12-31,11,542,1.29
2015-01-01,0,542,1.29
2015-01-02,77,561,1.29
2015-01-03,60,2229,1.29
2015-01-04,1,2228,1.29
2015-01-05,69,2351,1.29
2015-01-06,98,2253,1.29
2015-01-07,119,2134,1.29
2015-01-08,93,2137,1.29
2015-01-09,92,2045,1.29
2015-01-10,112,1933,1.29
2015-01-11,96,1837,1.29
2015-01-12,93,1744,1.29
2015-01-13,65,1679,1.29
2015-01-14,100,1581,1.29
2015-01-15,51,1530,1.49
2015-01-16,55,1475,1.49
2015-01-17,71,1403,1.49
2015-01-18,57,1346,1.49
2015-01-19,34,1312,1.49
2015-01-20,47,1265,1.49
2015-01-21,88,1177,1.29
2015-01-22,51,1126,1.29
2015-01-23,49,1076,1.29
2015-01-24,110,966,1.29
2015-01-25,30,936,1.29
2015-01-26,59,877,1.29
2015-01-27,97,780,1.29
2015-01-28,155,625,1.29
2015-01-29,125,500,1.29
2015-01-30,100,496,1.29
2015-01-31,211,285,1.29
2015-02-01,88,197,1.29
2015-02-02,114,467,1.29
2015-02-03,89,570,1.29
2015-02-04,118,548,1.29
2015-02-05,84,1136,1.29
2015-02-06,125,1299,1.29
2015-02-07,184,1211,1.04
2015-02-08,107,1104,1.29
2015-02-09,70,1033,1.29
2015-02-10,66,1063,1.29
2015-02-11,89,974,1.29
2015-02-12,50,1116,2.84
2015-02-13,20,1096,2.89
2015-02-14,77,1019,2.89
2015-02-15,33,986,2.89
2015-02-16,47,1035,2.89
2015-02-17,35,1000,2.89
2015-02-18,60,1228,2.89
2015-02-19,31,1197,2.89
2015-02-20,35,1162,2.89
2015-02-21,80,1082,2.87
2015-02-22,42,1039,2.89
2015-02-23,23,1016,2.89
2015-02-24,19,997,2.89
2015-02-25,18,1075,2.89
2015-02-26,37,1134,2.89
2015-02-27,50,1084,2.89
2015-02-28,127,957,2.89
2015-03-01,123,834,2.89
2015-03-02,44,789,2.89
2015-03-03,22,767,2.89
2015-03-04,31,736,2.89
2015-03-05,22,714,2.89
2015-03-06,40,674,2.89
2015-03-07,62,612,2.89
2015-03-08,59,553,2.89
2015-03-09,28,525,2.89
2015-03-10,68,458,1.49
2015-03-11,73,385,1.49
2015-03-12,87,298,1.49
2015-03-13,175,1878,1.29
2015-03-14,300,1575,1.29
2015-03-15,196,1379,1.29
2015-03-16,123,1256,1.29
2015-03-17,168,1088,1.29
2015-03-18,209,1263,1.29
2015-03-19,188,1075,1.29
2015-03-20,219,856,1.29
2015-03-21,381,475,1.29
2015-03-22,158,317,1.29
2015-03-23,12,304,1.49
2015-03-24,8,296,1.29
2015-03-25,10,286,1.29
2015-03-26,88,774,1.29
2015-03-27,196,770,1.29
2015-03-28,206,660,1.29
2015-03-29,83,577,1.29
2015-03-30,0,673,1.49
2015-03-31,0,673,1.49
2015-04-01,27,646,1.49
2015-04-02,27,1002,1.49
2015-04-03,54,1044,1.49
2015-04-04,136,908,1.49
2015-04-05,55,853,1.49
2015-04-06,22,831,1.49
2015-04-07,30,801,1.49
2015-04-08,30,771,1.49
2015-04-09,30,930,1.49
2015-04-10,44,1078,1.49
2015-04-11,39,1423,1.49
2015-04-12,57,1366,1.49
2015-04-13,30,1336,1.49
2015-04-14,47,1385,1.49
2015-04-15,74,1311,1.49
2015-04-16,114,1196,1.39
2015-04-17,40,1156,1.39
2015-04-18,62,1094,1.39
2015-04-19,62,1032,1.39
2015-04-20,135,897,1.39
2015-04-21,175,722,1.39
2015-04-22,82,736,1.39
2015-04-23,62,674,1.4
2015-04-24,88,586,1.4
2015-04-25,152,434,1.4
2015-04-26,64,370,1.4
2015-04-27,67,591,1.4
2015-04-28,73,806,1.39
2015-04-29,130,676,1.39
2015-04-30,115,657,1.39
2015-05-01,260,397,1.39
2015-05-02,228,169,1.39
2015-05-03,120,49,1.39
2015-05-04,31,18,1.39
2015-05-05,0,18,1.39
2015-05-06,3,15,1.39
2015-05-07,0,15,1.39
2015-05-08,0,15,1.39
2015-05-09,0,15,0.0
2015-05-10,0,15,1.49
2015-05-11,1,14,1.49
2015-05-12,0,14,1.49
2015-05-13,1,13,1.49
2015-05-14,1,12,1.49
2015-05-15,1,10,1.49
2015-05-16,0,10,1.49
2015-05-17,0,10,1.49
2015-05-18,0,10,1.49
2015-05-19,1,9,1.49
2015-05-20,0,9,1.49
2015-05-21,0,9,1.49
2015-05-22,0,9,1.49
2015-05-23,0,9,1.49
2015-05-24,0,9,1.49
2015-05-25,0,9,1.39
2015-05-26,0,9,1.39
2015-05-27,0,9,1.39
2015-05-28,0,9,1.39
2015-05-29,0,9,1.39
2015-05-30,0,9,1.39
2015-05-31,0,9,1.39
2015-06-01,0,105,1.39
2015-06-02,0,105,1.39
2015-06-03,0,105,1.39
2015-06-04,0,105,1.39
2015-06-05,168,1377,1.39
2015-06-06,201,1176,1.2
2015-06-07,147,1029,1.19
2015-06-08,119,910,1.19
2015-06-09,122,788,1.19
2015-06-10,149,639,1.19
2015-06-11,111,720,1.19
2015-06-12,95,721,1.19
2015-06-13,237,675,1.19
2015-06-14,110,565,1.19
2015-06-15,104,653,1.19
2015-06-16,61,592,1.19
2015-06-17,40,1127,1.29
2015-06-18,114,1301,1.29
2015-06-19,129,1172,1.29
2015-06-20,111,1061,1.29
2015-06-21,146,915,1.29
2015-06-22,57,858,1.49
2015-06-23,19,839,1.49
2015-06-24,27,1291,1.49
2015-06-25,62,1229,1.49
2015-06-26,95,1902,1.49
2015-06-27,183,1719,1.39
2015-06-28,94,1624,1.39
2015-06-29,116,1606,1.39
2015-06-30,63,1543,1.39
2015-07-01,147,1396,1.39
2015-07-02,101,1295,1.39
2015-07-03,248,1047,1.29
2015-07-04,142,905,1.29
2015-07-05,186,719,1.29
2015-07-06,109,898,1.29
2015-07-07,228,957,1.29
2015-07-08,66,1083,1.29
2015-07-09,182,901,1.29
2015-07-10,1,996,1.29
2015-07-11,64,1124,1.29
2015-07-12,118,1006,1.29
2015-07-13,55,950,1.29
2015-07-14,43,907,1.27
2015-07-15,95,812,1.28
2015-07-16,54,758,1.28
2015-07-17,85,673,1.28
2015-07-18,92,869,1.27
2015-07-19,61,808,1.28
2015-07-20,111,697,1.27
2015-07-21,7,1170,1.28
2015-07-22,4,1262,1.28
2015-07-23,66,1292,1.27
2015-07-24,95,1197,1.28
2015-07-25,190,1103,1.27
2015-07-26,60,1043,1.28
2015-07-27,42,1097,1.27
2015-07-28,79,1306,1.27
2015-07-29,109,1581,1.27
2015-07-30,165,1416,1.28
2015-07-31,99,1317,1.27
2015-08-01,233,1084,1.48
2015-08-02,16,1067,1.48
2015-08-03,2,1065,1.46
2015-08-04,5,1060,1.47
2015-08-05,22,1038,1.48
2015-08-06,8,1030,1.49
2015-08-07,65,321,1.48
2015-08-08,157,451,1.48
2015-08-09,65,386,1.48
2015-08-10,90,296,1.48
2015-08-11,3,1157,1.18
2015-08-12,5,1152,1.18
2015-08-13,1,2015,1.19
2015-08-14,65,2046,1.18
2015-08-15,235,1811,1.17
2015-08-16,76,1735,1.18
2015-08-17,2,1733,1.19
2015-08-18,101,1632,1.18
2015-08-19,162,1470,1.17
2015-08-20,25,1446,1.17
2015-08-21,4,1442,1.16
2015-08-22,1,1441,1.19
2015-08-23,75,1366,1.17
2015-08-24,32,1334,1.18
2015-08-25,76,1258,1.18
2015-08-26,6,1252,1.17
2015-08-27,65,1285,1.18
2015-08-28,145,1140,1.17
2015-08-29,78,1062,1.17
2015-08-30,6,1055,1.18
2015-08-31,0,1151,1.19
2015-09-01,126,1217,1.18
2015-09-02,240,1073,1.17
2015-09-03,67,1006,1.68
2015-09-04,140,863,1.68
2015-09-05,208,655,1.68
2015-09-06,76,579,1.68
2015-09-07,240,339,1.68
2015-09-08,52,575,1.01
2015-09-09,111,464,0.94
2015-09-10,176,288,0.97
2015-09-11,84,300,1.01
2015-09-12,171,129,1.0
2015-09-13,102,27,0.99
2015-09-14,69,0,0.97
2015-09-15,77,0,0.93
2015-09-16,174,0,0.97
2015-09-17,69,0,1.68
2015-09-18,52,930,1.68
2015-09-19,42,1080,1.68
2015-09-20,1,1079,1.69
2015-09-21,62,1016,1.68
2015-09-22,88,928,1.68
2015-09-23,60,1348,1.68
2015-09-24,2,1442,1.66
2015-09-25,3,1631,1.69
2015-09-26,9,1622,1.76
2015-09-27,142,1480,1.78
2015-09-28,90,1580,1.78
2015-09-29,20,1560,1.78
2015-09-30,37,1523,1.78
2015-10-01,86,1437,1.78
2015-10-02,166,1367,1.78
2015-10-03,391,976,1.48
2015-10-04,56,919,1.47
2015-10-05,64,951,1.47
2015-10-06,35,916,1.48
2015-10-07,40,875,1.47
2015-10-08,21,1526,1.48
2015-10-09,42,1484,1.48
2015-10-10,95,1389,1.48
2015-10-11,85,1304,1.48
2015-10-12,140,1356,1.47
2015-10-13,80,1276,1.48
2015-10-14,91,1185,1.48
2015-10-15,65,1120,1.48
2015-10-16,166,1146,1.48
2015-10-17,137,1297,1.48
2015-10-18,174,1123,1.48
2015-10-19,120,1291,1.48
2015-10-20,93,1198,1.78
2015-10-21,100,1096,1.78
2015-10-22,137,1055,1.27
2015-10-23,241,1006,1.27
2015-10-24,113,893,1.27
2015-10-25,257,636,1.28
2015-10-26,166,474,1.28
2015-10-27,162,312,1.28
2015-10-28,247,1121,1.28
2015-10-29,70,1435,1.78
2015-10-30,139,1296,1.35
2015-10-31,195,1293,1.34
2015-11-01,206,1087,1.34
2015-11-02,268,819,1.35
2015-11-03,59,760,1.35
2015-11-04,99,1237,1.34
2015-11-05,63,1366,1.75
2015-11-06,77,1577,1.76
2015-11-07,232,1345,2.18
2015-11-08,157,1188,2.18
2015-11-09,107,1081,2.19
2015-11-10,57,1023,2.18
2015-11-11,95,930,2.18
2015-11-12,86,844,2.19
2015-11-13,102,742,2.19
2015-11-14,184,846,1.79
2015-11-15,138,708,1.79
2015-11-16,106,698,2.19
2015-11-17,89,609,2.19
2015-11-18,107,502,2.19
2015-11-19,78,424,2.19
2015-11-20,185,238,2.19
2015-11-21,151,87,2.19
2015-11-22,97,0,2.19
2015-11-23,76,0,2.19
2015-11-24,140,0,2.19
2015-11-25,137,0,2.67
2015-11-26,84,0,2.69
2015-11-27,0,0,2.69
2015-11-28,7,0,2.69
2015-11-29,5,0,2.69
2015-11-30,22,0,2.69
2015-12-01,36,0,2.29
2015-12-02,36,1655,2.29
2015-12-03,38,2001,2.29
2015-12-04,95,1905,2.29
2015-12-05,108,1893,2.25
2015-12-06,70,1823,2.29
2015-12-07,78,1745,2.29
2015-12-08,77,1668,2.29
2015-12-09,76,1880,2.29
2015-12-10,59,1821,2.29
2015-12-11,42,1779,2.29
2015-12-12,142,1637,2.29
2015-12-13,116,1521,2.29
2015-12-14,57,1848,2.29
2015-12-15,167,1681,2.29
2015-12-16,154,1527,2.29
2015-12-17,139,1964,1.39
2015-12-18,192,1772,1.39
2015-12-19,295,2533,1.39
2015-12-20,311,2222,1.39
2015-12-21,251,1971,1.39
2015-12-22,377,1594,1.39
2015-12-23,410,1184,1.39
2015-12-24,161,1023,1.39
2015-12-25,0,1023,1.39
2015-12-26,212,811,1.39
2015-12-27,106,705,1.39
2015-12-28,100,604,1.39
2015-12-29,9,595,1.39
2015-12-30,0,595,1.39
2015-12-31,0,595,1.39
2016-01-01,0,595,1.39
2016-01-02,3,592,1.39
2016-01-03,0,592,2.29
2016-01-04,0,592,1.46
2016-01-05,3,589,1.46
2016-01-06,3,586,1.46
2016-01-07,0,586,1.46
2016-01-08,2,584,1.46
2016-01-09,0,584,0.0
2016-01-10,3,581,1.46
2016-01-11,0,581,1.46
2016-01-12,103,478,1.46
2016-01-13,164,314,1.46
2016-01-14,118,196,1.46
2016-01-15,65,131,1.46
2016-01-16,24,107,1.46
2016-01-17,0,107,0.0
2016-01-18,1,106,1.46
2016-01-19,0,106,1.46
2016-01-20,1,105,1.46
2016-01-21,60,3213,1.46
2016-01-22,103,3110,1.35
2016-01-23,263,2847,1.39
2016-01-24,189,2658,1.39
2016-01-25,197,2461,1.39
2016-01-26,105,2356,1.46
2016-01-27,129,2227,1.46
2016-01-28,144,2083,1.46
2016-01-29,173,1910,1.79
2016-01-30,293,1617,1.79
2016-01-31,219,1398,1.79
2016-02-01,131,1267,1.79
2016-02-02,184,1083,1.79
2016-02-03,266,817,1.79
2016-02-04,98,815,2.18
2016-02-05,67,1420,2.29
2016-02-06,85,1335,2.29
2016-02-07,78,1257,2.29
2016-02-08,71,1185,2.19
2016-02-09,113,1072,2.19
2016-02-10,138,1894,2.19
2016-02-11,98,1796,2.19
2016-02-12,96,1700,2.19
2016-02-13,190,1510,2.19
2016-02-14,105,1510,2.19
2016-02-15,25,1510,2.19
2016-02-16,47,1909,2.19
2016-02-17,63,1845,2.19
2016-02-18,39,1806,2.19
2016-02-19,35,1771,2.19
2016-02-20,77,1982,2.19
2016-02-21,60,1922,2.19
2016-02-22,52,1870,2.19
2016-02-23,51,1819,2.19
2016-02-24,37,1782,2.19
2016-02-25,42,1740,2.19
2016-02-26,89,1651,2.19
2016-02-27,217,1367,2.19
2016-02-28,197,1170,2.19
2016-02-29,81,1089,2.19
2016-03-01,58,1607,2.19
2016-03-02,120,1487,2.19
2016-03-03,64,1423,2.19
2016-03-04,64,1743,2.59
2016-03-05,76,1667,2.59
2016-03-06,86,1581,2.59
2016-03-07,98,1867,2.59
2016-03-08,53,1814,2.59
2016-03-09,38,1774,2.59
2016-03-10,46,1728,2.19
2016-03-11,45,1779,2.19
2016-03-12,67,1712,2.19
2016-03-13,52,1660,2.19
2016-03-14,24,1825,2.19
2016-03-15,51,1774,2.19
2016-03-16,127,1647,2.19
2016-03-17,75,1572,2.19
2016-03-18,62,1510,2.19
2016-03-19,128,1478,1.99
2016-03-20,138,1340,1.99
2016-03-21,74,1554,1.99
2016-03-22,73,1480,2.59
2016-03-23,100,1380,2.59
2016-03-24,71,1501,2.59
2016-03-25,99,1402,2.59
2016-03-26,102,1396,2.59
2016-03-27,57,1339,2.59
2016-03-28,23,1507,2.59
2016-03-29,35,1760,2.59
2016-03-30,59,1701,2.59
2016-03-31,41,1660,2.59
2016-04-01,68,1592,2.59
2016-04-02,84,1508,2.59
2016-04-03,42,1466,2.59
2016-04-04,95,1659,2.59
2016-04-05,85,1574,2.59
2016-04-06,102,1472,2.59
2016-04-07,111,1457,2.59
2016-04-08,113,1344,2.59
2016-04-09,208,1136,2.59
2016-04-10,148,988,2.59
2016-04-11,123,2017,2.59
2016-04-12,62,1955,2.59
2016-04-13,129,1825,2.59
2016-04-14,102,1723,2.59
2016-04-15,110,3917,2.59
2016-04-16,202,3715,2.59
2016-04-17,144,3571,2.59
2016-04-18,84,3487,2.59
2016-04-19,127,3360,1.89
2016-04-20,181,3179,1.89
2016-04-21,268,2911,1.89
2016-04-22,278,2636,1.89
2016-04-23,234,2402,1.89
2016-04-24,133,2269,1.89
2016-04-25,91,2178,1.89
2016-04-26,83,2095,2.59
2016-04-27,139,1956,2.59
2016-04-28,113,1843,2.59
2016-04-29,141,1702,2.59
2016-04-30,228,1474,2.59
2016-05-01,163,1311,2.59
2016-05-02,0,1605,2.59
2016-05-03,125,1768,2.57
2016-05-04,180,1876,2.59
2016-05-05,222,1846,1.88
2016-05-06,243,1602,1.89
2016-05-07,408,1196,1.89
2016-05-08,181,1014,1.89
2016-05-09,176,838,1.88
2016-05-10,178,660,1.89
2016-05-11,310,348,1.38
2016-05-12,134,213,1.89
2016-05-13,132,81,1.89
2016-05-14,1,80,1.89
2016-05-15,0,80,0.0
2016-05-16,0,80,2.59
2016-05-17,0,2383,2.59
2016-05-18,110,2262,2.59
2016-05-19,81,2181,2.59
2016-05-20,112,2069,2.59
2016-05-21,186,2069,2.59
2016-05-22,113,1770,2.59
2016-05-23,86,1684,2.59
2016-05-24,59,1817,2.59
2016-05-25,94,5946,2.59
2016-05-26,167,5779,2.59
2016-05-27,244,5535,2.59
2016-05-28,261,5273,2.59
2016-05-29,187,5085,2.59
2016-05-30,115,4970,2.59
2016-05-31,139,4831,2.59
2016-06-01,273,4558,2.59
2016-06-02,235,4323,2.59
2016-06-03,172,4151,2.59
2016-06-04,323,3828,2.59
2016-06-05,336,3492,2.59
2016-06-06,127,3365,2.59
2016-06-07,137,3228,2.59
2016-06-08,249,2979,2.59
2016-06-09,201,2778,2.59
2016-06-10,271,2507,1.81
2016-06-11,512,2187,1.65
2016-06-12,317,1870,1.66
2016-06-13,224,1646,1.66
2016-06-14,239,1407,1.63
2016-06-15,377,1182,1.63
2016-06-16,239,1423,1.69
